iter	Passed	Remaining
0	143	143738
1	145	72775
2	148	49337
3	150	37439
4	152	30288
5	154	25518
6	155	22119
7	157	19556
8	159	17558
9	161	16002
10	163	14735
11	165	13650
12	167	12736
13	169	11944
14	171	11274
15	173	10678
16	175	10157
17	178	9730
18	180	9319
19	182	8962
20	184	8622
21	186	8311
22	188	8021
23	191	7777
24	193	7537
25	195	7312
26	197	7110
27	199	6922
28	201	6742
29	203	6580
30	206	6449
31	208	6308
32	211	6195
33	214	6094
34	216	5971
35	243	6509
36	245	6387
37	249	6320
38	255	6300
39	258	6197
40	260	6092
41	263	6002
42	265	5903
43	268	5824
44	270	5731
45	272	5645
46	274	5559
47	276	5476
48	277	5393
49	279	5315
50	282	5262
51	285	5200
52	286	5125
53	288	5052
54	289	4977
55	291	4905
56	292	4834
57	293	4765
58	294	4700
59	296	4644
60	298	4587
61	299	4527
62	300	4468
63	301	4411
64	302	4355
65	303	4301
66	305	4249
67	306	4197
68	307	4152
69	309	4118
70	313	4097
71	315	4063
72	316	4020
73	317	3973
74	318	3930
75	319	3888
76	320	3844
77	321	3803
78	322	3762
79	323	3721
80	324	3683
81	327	3662
82	328	3626
83	329	3593
84	330	3562
85	332	3529
86	333	3495
87	334	3464
88	335	3436
89	336	3406
90	338	3377
91	339	3353
92	342	3339
93	344	3317
94	345	3288
95	346	3261
96	347	3231
97	347	3201
98	348	3172
99	349	3143
100	349	3115
101	350	3087
102	352	3065
103	353	3041
104	353	3017
105	355	2994
106	357	2986
107	359	2965
108	360	2943
109	360	2920
110	361	2897
111	362	2873
112	363	2851
113	363	2828
114	364	2807
115	365	2786
116	366	2764
117	367	2744
118	368	2724
119	368	2705
120	369	2686
121	370	2666
122	373	2661
123	374	2644
124	375	2626
125	376	2609
126	377	2591
127	377	2574
128	379	2560
129	380	2547
130	381	2532
131	382	2516
132	383	2501
133	384	2486
134	386	2479
135	388	2470
136	390	2458
137	391	2446
138	392	2433
139	393	2419
140	394	2404
141	395	2388
